c_custkey,c_name,c_acctbal,c_address,n_name,c_phone,c_comment,deltaRevenue,revenue
1049,Customer#000001049,8747.99,bZ1OcFhHaIZ5gMiH,INDONESIA,19-499-258-2851,uriously according to the furiously silent packages,52778.3984,269671.6217
1049,Customer#000001049,8747.99,bZ1OcFhHaIZ5gMiH,INDONESIA,19-499-258-2851,uriously according to the furiously silent packages,11462.49,281134.1117
472,Customer#000000472,7929.9,hWgfnsmTAEOx9Mqp87YwztGrgLLqNkjMPh4,JAPAN,22-940-478-1933,deas sleep slyly blithely final foxes. slyly final e,14519.8053,14519.8053
472,Customer#000000472,7929.9,hWgfnsmTAEOx9Mqp87YwztGrgLLqNkjMPh4,JAPAN,22-940-478-1933,deas sleep slyly blithely final foxes. slyly final e,4737.9839999999995,19257.7893
472,Customer#000000472,7929.9,hWgfnsmTAEOx9Mqp87YwztGrgLLqNkjMPh4,JAPAN,22-940-478-1933,deas sleep slyly blithely final foxes. slyly final e,62180.342,81438.1313
1465,Customer#000001465,9365.93,tDRaTC7UgFbBX7VF6cVXYQA0,INDIA,18-807-487-1074,"s lose blithely ironic, regular packages. regular, final foxes haggle c",53643.33,53643.33
1465,Customer#000001465,9365.93,tDRaTC7UgFbBX7VF6cVXYQA0,INDIA,18-807-487-1074,"s lose blithely ironic, regular packages. regular, final foxes haggle c",24126.769999999997,77770.1
706,Customer#000000706,6496.08,ycxysGDuWHN98FS4lZ2obT9ZPNRWjJTsHbQXvi,ROMANIA,29-468-275-6045,ses cajole furiously after the ironic requests. pinto beans sleep busi,11479.203899999999,11479.203899999999
706,Customer#000000706,6496.08,ycxysGDuWHN98FS4lZ2obT9ZPNRWjJTsHbQXvi,ROMANIA,29-468-275-6045,ses cajole furiously after the ironic requests. pinto beans sleep busi,17512.159,28991.3629
706,Customer#000000706,6496.08,ycxysGDuWHN98FS4lZ2obT9ZPNRWjJTsHbQXvi,ROMANIA,29-468-275-6045,ses cajole furiously after the ironic requests. pinto beans sleep busi,39844.3628,68835.72570000001
1192,Customer#000001192,3231.33,8DbtM3KloBZ4OO1dRrF99,SAUDI ARABIA,30-904-936-4914,efully final packages use. slyly pend,49184.0343,49184.0343
1192,Customer#000001192,3231.33,8DbtM3KloBZ4OO1dRrF99,SAUDI ARABIA,30-904-936-4914,efully final packages use. slyly pend,60293.0078,109477.04209999999
1192,Customer#000001192,3231.33,8DbtM3KloBZ4OO1dRrF99,SAUDI ARABIA,30-904-936-4914,efully final packages use. slyly pend,5810.6492,115287.69129999999
1192,Customer#000001192,3231.33,8DbtM3KloBZ4OO1dRrF99,SAUDI ARABIA,30-904-936-4914,efully final packages use. slyly pend,62995.12320000001,178282.8145
1192,Customer#000001192,3231.33,8DbtM3KloBZ4OO1dRrF99,SAUDI ARABIA,30-904-936-4914,efully final packages use. slyly pend,75151.68,253434.4945
1495,Customer#000001495,6227.55,"78w5H7VJSo0Ps,jqeoCWS4Kay17ygM4RtIH",IRAN,20-416-910-7075,"osely blithe, ironic foxes. regular dependencies use blithely about ",34187.377,34187.377
488,Customer#000000488,-275.58,bBcMjFPTysSTaTdHcoO,CANADA,13-513-778-1881,thely above the carefully ironic accounts. excuse,58608.0,58608.0
1084,Customer#000001084,1416.75,E091r836A8TPqn5,BRAZIL,12-378-899-7136,nstructions. fluffily pending pinto beans affix slyly; carefully pending requ,33552.12,33552.12
1084,Customer#000001084,1416.75,E091r836A8TPqn5,BRAZIL,12-378-899-7136,nstructions. fluffily pending pinto beans affix slyly; carefully pending requ,13065.135199999999,46617.2552
959,Customer#000000959,3266.14,O FdrkZxCx PK,EGYPT,14-546-329-6898,press accounts wake busily after the furiously final theodolites: fluffily final deposits above the carefully iro,57214.944,57214.944
613,Customer#000000613,6679.75,"AJT,26RbanTdEHOBgTWg",EGYPT,14-275-416-1669,"ironic, pending deposits: quickl",42192.4608,42192.4608
613,Customer#000000613,6679.75,"AJT,26RbanTdEHOBgTWg",EGYPT,14-275-416-1669,"ironic, pending deposits: quickl",39395.74859999999,81588.20939999999
613,Customer#000000613,6679.75,"AJT,26RbanTdEHOBgTWg",EGYPT,14-275-416-1669,"ironic, pending deposits: quickl",41459.922,123048.13139999998
613,Customer#000000613,6679.75,"AJT,26RbanTdEHOBgTWg",EGYPT,14-275-416-1669,"ironic, pending deposits: quickl",4995.900000000001,128044.03139999998
553,Customer#000000553,4804.57,8tTlavJ sT,EGYPT,14-454-146-3094,"ully regular requests are blithely about the express, bold platelets. slyly permanent deposits across the",39285.24599999999,39285.24599999999
821,Customer#000000821,2691.42,PVdTfF7cfPueJS0MBncE5v4bKfPV64Zg,ETHIOPIA,15-901-460-2033,wake carefully. slyly express deposits wake furiously among the fluffily final deposits. pa,28738.7136,28738.7136
821,Customer#000000821,2691.42,PVdTfF7cfPueJS0MBncE5v4bKfPV64Zg,ETHIOPIA,15-901-460-2033,wake carefully. slyly express deposits wake furiously among the fluffily final deposits. pa,2164.36,30903.0736
581,Customer#000000581,3242.1,s9SoN9XeVuCri,UNITED STATES,34-415-978-2518,ns. quickly regular pinto beans must sleep fluffily ,27540.6852,27540.6852
581,Customer#000000581,3242.1,s9SoN9XeVuCri,UNITED STATES,34-415-978-2518,ns. quickly regular pinto beans must sleep fluffily ,30493.635899999997,58034.3211
581,Customer#000000581,3242.1,s9SoN9XeVuCri,UNITED STATES,34-415-978-2518,ns. quickly regular pinto beans must sleep fluffily ,66143.9704,124178.2915
1159,Customer#000001159,5553.75,IAnWq4YFKs7,BRAZIL,12-269-807-3861,ages sleep fluffily. packages after the carefully express packages nag slyl,13415.31,13415.31
1159,Customer#000001159,5553.75,IAnWq4YFKs7,BRAZIL,12-269-807-3861,ages sleep fluffily. packages after the carefully express packages nag slyl,38040.44,51455.75
526,Customer#000000526,705.93,0oAVPhh1I4JdrDafVG2Z8,ARGENTINA,11-170-679-3115,ctions cajole after the furiously unusual ideas. ironic packages among the instructions are carefully carefully iro,1775.1194,1775.1194
526,Customer#000000526,705.93,0oAVPhh1I4JdrDafVG2Z8,ARGENTINA,11-170-679-3115,ctions cajole after the furiously unusual ideas. ironic packages among the instructions are carefully carefully iro,50318.394,52093.5134
526,Customer#000000526,705.93,0oAVPhh1I4JdrDafVG2Z8,ARGENTINA,11-170-679-3115,ctions cajole after the furiously unusual ideas. ironic packages among the instructions are carefully carefully iro,40304.44,92397.9534
281,Customer#000000281,4361.7,x5gJ8IGm2Fo9Jigt,FRANCE,16-809-382-6446,fully quiet ideas detect quickly even packages. regular instructions accor,31439.835000000003,31439.835000000003
281,Customer#000000281,4361.7,x5gJ8IGm2Fo9Jigt,FRANCE,16-809-382-6446,fully quiet ideas detect quickly even packages. regular instructions accor,27188.208000000002,58628.043000000005
1201,Customer#000001201,5165.39,"LfCSVKWozyWOGDW02g9UX,XgH5YU2o5ql1zBrN",IRAN,20-825-400-1187,lyly pending packages. special requests sleep-- platelets use blithely after the instructions. sometimes even id,3567.5242,3567.5242
1201,Customer#000001201,5165.39,"LfCSVKWozyWOGDW02g9UX,XgH5YU2o5ql1zBrN",IRAN,20-825-400-1187,lyly pending packages. special requests sleep-- platelets use blithely after the instructions. sometimes even id,48297.667199999996,51865.191399999996
1201,Customer#000001201,5165.39,"LfCSVKWozyWOGDW02g9UX,XgH5YU2o5ql1zBrN",IRAN,20-825-400-1187,lyly pending packages. special requests sleep-- platelets use blithely after the instructions. sometimes even id,2862.6058,54727.79719999999
1201,Customer#000001201,5165.39,"LfCSVKWozyWOGDW02g9UX,XgH5YU2o5ql1zBrN",IRAN,20-825-400-1187,lyly pending packages. special requests sleep-- platelets use blithely after the instructions. sometimes even id,53938.50659999999,108666.3038
1345,Customer#000001345,8593.83,"31zcobEB,6Li4YDZbnNX",INDONESIA,19-913-651-7783,"of the express, express packages. final requests detect to the regular accou",36487.987199999996,36487.987199999996
436,Customer#000000436,5896.87,4DCNzAT842cVYTcaUS94kR0QXHSRM5oco0D6Z,ROMANIA,29-927-687-6390,olites engage carefully. slyly ironic asymptotes about the ironi,54178.3296,54178.3296
436,Customer#000000436,5896.87,4DCNzAT842cVYTcaUS94kR0QXHSRM5oco0D6Z,ROMANIA,29-927-687-6390,olites engage carefully. slyly ironic asymptotes about the ironi,57496.5216,111674.8512
436,Customer#000000436,5896.87,4DCNzAT842cVYTcaUS94kR0QXHSRM5oco0D6Z,ROMANIA,29-927-687-6390,olites engage carefully. slyly ironic asymptotes about the ironi,84040.8,195715.65120000002
436,Customer#000000436,5896.87,4DCNzAT842cVYTcaUS94kR0QXHSRM5oco0D6Z,ROMANIA,29-927-687-6390,olites engage carefully. slyly ironic asymptotes about the ironi,38736.558000000005,234452.20920000004
211,Customer#000000211,4198.72,URhlVPzz4FqXem,JORDAN,23-965-335-9471,furiously regular foxes boost fluffily special ideas. carefully regular dependencies are. slyly ironic ,7205.2764,7205.2764
211,Customer#000000211,4198.72,URhlVPzz4FqXem,JORDAN,23-965-335-9471,furiously regular foxes boost fluffily special ideas. carefully regular dependencies are. slyly ironic ,8937.486,16142.7624
925,Customer#000000925,1939.39,jn Razhw70hWtHN4iRBWsf1UmrFUPn36Ni562ex,IRAN,20-753-609-6699,"ironic accounts cajole carefully. even, expre",12069.214499999998,12069.214499999998
1417,Customer#000001417,7543.01,1BDU8AvljnLmkM,ARGENTINA,11-242-612-1339,ag slyly-- furiously final accounts are ironic instruct,21843.426,21843.426
1246,Customer#000001246,260.71,acguUq5BISzqjHB7Bt,EGYPT,14-882-141-9354,haggle furiously. blithely regular patterns sleep quickly slyly even,33200.847,33200.847
881,Customer#000000881,2141.71,XJ94RTR2oXI omeh,EGYPT,14-127-261-7876,pinto beans. asymptotes about the slowly even theodolites are pending requests,22296.82,22296.82
805,Customer#000000805,511.69,"wCKx5zcHvwpSffyc9qfi9dvqcm9LT,cLAG",IRAN,20-732-989-5653,busy sentiments. pending packages haggle among the express requests-- slyly regular excuses above the slyl,11583.445,11583.445
805,Customer#000000805,511.69,"wCKx5zcHvwpSffyc9qfi9dvqcm9LT,cLAG",IRAN,20-732-989-5653,busy sentiments. pending packages haggle among the express requests-- slyly regular excuses above the slyl,37310.41,48893.855
805,Customer#000000805,511.69,"wCKx5zcHvwpSffyc9qfi9dvqcm9LT,cLAG",IRAN,20-732-989-5653,busy sentiments. pending packages haggle among the express requests-- slyly regular excuses above the slyl,67748.99040000001,116642.84540000002
860,Customer#000000860,6836.89,t0GtEsh39KvInVMH7CDn0xi,JAPAN,22-895-319-1388, deposits above the blithe requests maintain furiously slyly even packages. slyly regular requests boost. blith,9634.2,9634.2
860,Customer#000000860,6836.89,t0GtEsh39KvInVMH7CDn0xi,JAPAN,22-895-319-1388, deposits above the blithe requests maintain furiously slyly even packages. slyly regular requests boost. blith,30397.356,40031.556
860,Customer#000000860,6836.89,t0GtEsh39KvInVMH7CDn0xi,JAPAN,22-895-319-1388, deposits above the blithe requests maintain furiously slyly even packages. slyly regular requests boost. blith,973.9620000000001,41005.518
1351,Customer#000001351,3106.0,NYMFfkNlCGoTeaDrNO9nn,ARGENTINA,11-916-210-6616, accounts after the final deposits sleep fluffily ironic accoun,6296.75,6296.75
601,Customer#000000601,9768.21,"P3 Dv,6yllTNmL9yt6NUZZPZjvM2coWJd",ARGENTINA,11-104-635-9839,ly according to the unusual foxes. carefully ironic accounts haggle accounts-- regular dolphins will integ,16204.302799999998,16204.302799999998
518,Customer#000000518,9871.66,"EsCrt4chk,3IRIzwMHTu 6VQWrfh",PERU,27-651-256-7682,as. quickly regular requests are carefully above th,22975.2,22975.2
518,Customer#000000518,9871.66,"EsCrt4chk,3IRIzwMHTu 6VQWrfh",PERU,27-651-256-7682,as. quickly regular requests are carefully above th,23264.55,46239.75
413,Customer#000000413,5817.9,",4Jm5N0ruhJCB7cBR6Kw",FRANCE,16-158-285-7336,ular packages integrate furiously fluffily final accounts. carefully regular ,7743.9465,7743.9465
413,Customer#000000413,5817.9,",4Jm5N0ruhJCB7cBR6Kw",FRANCE,16-158-285-7336,ular packages integrate furiously fluffily final accounts. carefully regular ,20185.729199999998,27929.6757
704,Customer#000000704,441.44,41s9yU0ossOKgBvjPPSTZqhfciy,INDONESIA,19-998-886-1551,"ously ironic instructions believe about the pending, regular deposits; final accounts cajole alongside of t",85322.8915,85322.8915
704,Customer#000000704,441.44,41s9yU0ossOKgBvjPPSTZqhfciy,INDONESIA,19-998-886-1551,"ously ironic instructions believe about the pending, regular deposits; final accounts cajole alongside of t",42677.5888,128000.4803
367,Customer#000000367,9108.65,yZaDoEZCqt2VMTVKoZUkf6gJ4yj,JORDAN,23-939-319-4691,"eodolites under the ironic, stealthy requests affix furiously among the unusual tit",27019.3644,27019.3644
367,Customer#000000367,9108.65,yZaDoEZCqt2VMTVKoZUkf6gJ4yj,JORDAN,23-939-319-4691,"eodolites under the ironic, stealthy requests affix furiously among the unusual tit",26296.0,53315.3644
367,Customer#000000367,9108.65,yZaDoEZCqt2VMTVKoZUkf6gJ4yj,JORDAN,23-939-319-4691,"eodolites under the ironic, stealthy requests affix furiously among the unusual tit",6791.4216,60106.786
367,Customer#000000367,9108.65,yZaDoEZCqt2VMTVKoZUkf6gJ4yj,JORDAN,23-939-319-4691,"eodolites under the ironic, stealthy requests affix furiously among the unusual tit",65973.12049999999,126079.90649999998
745,Customer#000000745,7115.14,vjuHvDKdaomsivy l,CHINA,28-913-438-9403,"o beans. bold, regular theodolites haggle carefully about the quickl",20709.3502,20709.3502
745,Customer#000000745,7115.14,vjuHvDKdaomsivy l,CHINA,28-913-438-9403,"o beans. bold, regular theodolites haggle carefully about the quickl",76492.416,97201.7662
745,Customer#000000745,7115.14,vjuHvDKdaomsivy l,CHINA,28-913-438-9403,"o beans. bold, regular theodolites haggle carefully about the quickl",9347.982,106549.7482
907,Customer#000000907,5751.31,UeVLwnnpccsG1pbQmN7pzD,IRAN,20-501-816-7673,sits haggle quickly above the excuses. slyly ironic packages print furiously. carefully pending reques,2590.78,2590.78
907,Customer#000000907,5751.31,UeVLwnnpccsG1pbQmN7pzD,IRAN,20-501-816-7673,sits haggle quickly above the excuses. slyly ironic packages print furiously. carefully pending reques,8328.6522,10919.432200000001
1384,Customer#000001384,1534.38,bQI5haTy6PHM8MyRtKSlvU4ixAUg,INDIA,18-788-299-9227,"tes. regularly pending theodolites cajole even sheaves. stealthy, ironic ideas are furiously above the even p",4320.624,4320.624
1384,Customer#000001384,1534.38,bQI5haTy6PHM8MyRtKSlvU4ixAUg,INDIA,18-788-299-9227,"tes. regularly pending theodolites cajole even sheaves. stealthy, ironic ideas are furiously above the even p",40036.5948,44357.2188
1384,Customer#000001384,1534.38,bQI5haTy6PHM8MyRtKSlvU4ixAUg,INDIA,18-788-299-9227,"tes. regularly pending theodolites cajole even sheaves. stealthy, ironic ideas are furiously above the even p",15099.93,59457.1488
641,Customer#000000641,339.49,gbIvFlCygHjj5NG7U,UNITED STATES,34-761-987-7777,"uriously final requests boost regular, final ideas. fluffily busy packages promise? requests along the bold, s",28580.7249,28580.7249
883,Customer#000000883,479.96,qVQ8rWNU5KZYDcS,CANADA,13-526-239-6950,"uctions are carefully across the regular, regular asymptote",34920.2601,34920.2601
883,Customer#000000883,479.96,qVQ8rWNU5KZYDcS,CANADA,13-526-239-6950,"uctions are carefully across the regular, regular asymptote",68116.60800000001,103036.8681
883,Customer#000000883,479.96,qVQ8rWNU5KZYDcS,CANADA,13-526-239-6950,"uctions are carefully across the regular, regular asymptote",35093.745,138130.61310000002
293,Customer#000000293,-43.79,7ynwX7lZ3o2cmAWSkKAc3edKa 8yT,BRAZIL,12-887-984-5485,ironic foxes are final packages. requests about the furiousl,61171.2784,61171.2784
1342,Customer#000001342,1520.34,FD6UNqfsYMKkf3ZFZdI4EaYMZ,MOZAMBIQUE,26-340-733-2096,"y around the final, special foxes. ",37725.7408,37725.7408
1094,Customer#000001094,2544.49,OFz0eedTmPmXk2 3XM9v9Mcp13NVC0PK,BRAZIL,12-234-721-9871,"tes serve blithely quickly pending foxes. express, quick accounts",34310.2095,34310.2095
1094,Customer#000001094,2544.49,OFz0eedTmPmXk2 3XM9v9Mcp13NVC0PK,BRAZIL,12-234-721-9871,"tes serve blithely quickly pending foxes. express, quick accounts",50102.8086,84413.01809999999
1094,Customer#000001094,2544.49,OFz0eedTmPmXk2 3XM9v9Mcp13NVC0PK,BRAZIL,12-234-721-9871,"tes serve blithely quickly pending foxes. express, quick accounts",36401.595,120814.61309999999
1094,Customer#000001094,2544.49,OFz0eedTmPmXk2 3XM9v9Mcp13NVC0PK,BRAZIL,12-234-721-9871,"tes serve blithely quickly pending foxes. express, quick accounts",68040.6209,188855.234
1112,Customer#000001112,9314.59,wFf 0nSvdJyk2GqRsqJrcr9 UPr0C3OT5zT,SAUDI ARABIA,30-401-424-6458,fily quickly unusual theodolite,54083.84,54083.84
1112,Customer#000001112,9314.59,wFf 0nSvdJyk2GqRsqJrcr9 UPr0C3OT5zT,SAUDI ARABIA,30-401-424-6458,fily quickly unusual theodolite,36219.0,90302.84
1112,Customer#000001112,9314.59,wFf 0nSvdJyk2GqRsqJrcr9 UPr0C3OT5zT,SAUDI ARABIA,30-401-424-6458,fily quickly unusual theodolite,35861.544,126164.38399999999
1112,Customer#000001112,9314.59,wFf 0nSvdJyk2GqRsqJrcr9 UPr0C3OT5zT,SAUDI ARABIA,30-401-424-6458,fily quickly unusual theodolite,40782.312,166946.696
940,Customer#000000940,253.59,"T7ROXBXdajS,vkwy3VuC8wNvA",ROMANIA,29-958-573-1004,ent accounts. slyly even accounts breach across the dolphins. quickly regular pains dazzle carefully. sl,75678.9516,75678.9516
940,Customer#000000940,253.59,"T7ROXBXdajS,vkwy3VuC8wNvA",ROMANIA,29-958-573-1004,ent accounts. slyly even accounts breach across the dolphins. quickly regular pains dazzle carefully. sl,48225.242999999995,123904.19459999999
280,Customer#000000280,3952.84,3fDiGmN64En0ei,IRAQ,21-537-461-3965,accounts. quiet deposits sleep. slyly even instructions detect about the blithely bold instru,68477.01,68477.01
280,Customer#000000280,3952.84,3fDiGmN64En0ei,IRAQ,21-537-461-3965,accounts. quiet deposits sleep. slyly even instructions detect about the blithely bold instru,48295.7083,116772.7183
868,Customer#000000868,7616.48,cFG8Fa5h1e uvHJ9pgZAO,RUSSIA,32-850-421-3334,the requests. regular dinos at the even requests use furiously around the sheaves. slyly final theodolites bo,30968.028,30968.028
868,Customer#000000868,7616.48,cFG8Fa5h1e uvHJ9pgZAO,RUSSIA,32-850-421-3334,the requests. regular dinos at the even requests use furiously around the sheaves. slyly final theodolites bo,58968.054299999996,89936.0823
1499,Customer#000001499,9128.69,"4,6jWOEqfnuXkwhB7gs0M9TcWJlaJNv4bt",CANADA,13-273-527-9609,ole blithely permanent instructions. carefully even packages,33380.48,33380.48
1241,Customer#000001241,8654.56,74mW8ipfvoVPR3PS,CANADA,13-902-876-1609,ructions affix against the evenly ironic packages. slyly regular accounts run carefully. accounts accor,19578.8502,19578.8502
992,Customer#000000992,5027.75,"Vbi1NGfPeKw,XU",ETHIOPIA,15-262-535-3924," across the regular, pending requests. slyly ironic accounts wake furiously about the pending, regular ",10738.685999999998,10738.685999999998
992,Customer#000000992,5027.75,"Vbi1NGfPeKw,XU",ETHIOPIA,15-262-535-3924," across the regular, pending requests. slyly ironic accounts wake furiously about the pending, regular ",56085.504,66824.19
992,Customer#000000992,5027.75,"Vbi1NGfPeKw,XU",ETHIOPIA,15-262-535-3924," across the regular, pending requests. slyly ironic accounts wake furiously about the pending, regular ",44527.8528,111352.0428
992,Customer#000000992,5027.75,"Vbi1NGfPeKw,XU",ETHIOPIA,15-262-535-3924," across the regular, pending requests. slyly ironic accounts wake furiously about the pending, regular ",56904.392,168256.4348
